timestamp,open,high,low,close,volume,symbol,name
2020-05-22,22.85,23.9,22.46,23.15,19099747,ITX.MC,Inditex
2020-05-15,23.19,24.46,22.17,22.44,16990021,ITX.MC,Inditex
2020-05-08,22.8,23.6,21.54,23.12,20430620,ITX.MC,Inditex
2020-04-30,23.6,24.72,22.96,23.25,16301894,ITX.MC,Inditex
2020-04-24,25.72,25.74,22.75,22.99,13086644,ITX.MC,Inditex
2020-04-17,25.5,26.71,24.11,25.55,19146287,ITX.MC,Inditex
2020-04-09,22.63,25.73,22.5,25.26,14501807,ITX.MC,Inditex
2020-04-03,22.9,23.66,21.56,21.98,18557712,ITX.MC,Inditex
2020-03-27,21.0,24.87,20.1,22.99,22348445,ITX.MC,Inditex
2020-03-20,19.95,22.3,18.505,21.58,38413845,ITX.MC,Inditex
2020-03-13,25.08,26.1,20.36,21.3,45654120,ITX.MC,Inditex
2020-03-06,28.48,28.79,26.59,26.84,22854424,ITX.MC,Inditex
2020-02-28,30.8,30.85,26.94,28.13,30719878,ITX.MC,Inditex
2020-02-21,31.5,32.28,31.24,31.59,12547828,ITX.MC,Inditex
2020-02-14,31.83,32.02,30.73,31.43,11982547,ITX.MC,Inditex
2020-02-07,30.45,32.05,30.33,31.89,12620097,ITX.MC,Inditex
2020-01-31,30.74,31.16,30.33,30.37,12450759,ITX.MC,Inditex
2020-01-24,31.58,31.7,30.73,31.14,15308110,ITX.MC,Inditex
2020-01-17,31.63,31.79,31.15,31.75,16178995,ITX.MC,Inditex
2020-01-10,31.58,32.19,31.32,31.57,13026076,ITX.MC,Inditex
2020-01-03,32.09,32.16,31.16,31.81,7774623,ITX.MC,Inditex
2019-12-27,31.39,32.19,31.32,32.15,5867395,ITX.MC,Inditex
2019-12-20,30.69,31.47,30.45,31.43,22926105,ITX.MC,Inditex
2019-12-13,28.8,30.9,28.43,30.55,26067262,ITX.MC,Inditex
2019-12-06,28.35,28.94,27.57,28.92,18228136,ITX.MC,Inditex
2019-11-29,27.57,28.47,27.45,28.26,16497236,ITX.MC,Inditex
2019-11-22,27.9,28.19,27.07,27.49,14267862,ITX.MC,Inditex
2019-11-15,27.54,28.0,26.89,27.98,40436034,ITX.MC,Inditex
2019-11-08,28.29,28.79,27.5,27.52,149560215,ITX.MC,Inditex
2019-11-01,28.24,28.52,27.86,28.24,36362316,ITX.MC,Inditex
2019-10-25,28.39,28.66,27.81,28.28,142644528,ITX.MC,Inditex
2019-10-18,28.41,29.0,28.26,28.45,35199368,ITX.MC,Inditex
2019-10-11,27.77,28.57,27.47,28.57,11908314,ITX.MC,Inditex
2019-10-04,28.16,28.64,27.22,27.81,15654573,ITX.MC,Inditex
2019-09-27,27.28,28.29,27.04,28.12,13954143,ITX.MC,Inditex
2019-09-20,26.83,27.45,26.42,27.27,30147283,ITX.MC,Inditex
2019-09-13,28.59,29.0,26.91,26.91,23181374,ITX.MC,Inditex
2019-09-06,28.05,28.75,27.66,28.65,13101057,ITX.MC,Inditex
2019-08-30,26.9,28.38,26.73,28.12,13329515,ITX.MC,Inditex
2019-08-23,26.11,27.56,26.04,27.05,9834448,ITX.MC,Inditex
2019-08-16,26.63,26.82,25.33,25.99,11824829,ITX.MC,Inditex
2019-08-09,26.68,26.78,25.96,26.5,13816172,ITX.MC,Inditex
2019-08-02,27.45,27.74,26.7629,27.04,15099892,ITX.MC,Inditex
2019-07-26,27.46,27.83,27.25,27.65,13477172,ITX.MC,Inditex
2019-07-19,27.4,27.72,26.93,27.48,16942331,ITX.MC,Inditex
2019-07-12,27.12,27.42,26.57,27.42,16207287,ITX.MC,Inditex
2019-07-05,26.72,27.22,26.2,27.2,12246441,ITX.MC,Inditex
2019-06-28,25.52,26.6,25.1,26.45,20138993,ITX.MC,Inditex
2019-06-21,25.1,25.47,24.51,25.47,18496627,ITX.MC,Inditex
2019-06-14,25.2,25.7,24.66,25.0,19740397,ITX.MC,Inditex
2019-06-07,23.94,25.41,23.77,25.08,20718167,ITX.MC,Inditex
2019-05-31,25.08,25.35,23.92,24.05,19497682,ITX.MC,Inditex
2019-05-24,25.56,25.56,24.58,24.93,19149098,ITX.MC,Inditex
2019-05-17,25.05,25.8,24.84,25.39,23217815,ITX.MC,Inditex
2019-05-10,25.77,26.27,24.98,25.19,120465380,ITX.MC,Inditex
2019-05-03,26.36,26.97,26.02,26.29,70291848,ITX.MC,Inditex
2019-04-26,27.85,28.0,26.58,26.95,117043221,ITX.MC,Inditex
2019-04-18,26.44,28.14,26.33,28.0,75432184,ITX.MC,Inditex
2019-04-12,26.66,26.95,26.25,26.3,21593206,ITX.MC,Inditex
2019-04-05,26.37,27.01,26.05,26.7,25082833,ITX.MC,Inditex
2019-03-29,26.01,26.52,25.51,26.2,18440305,ITX.MC,Inditex
2019-03-22,25.87,26.77,25.79,26.27,27541567,ITX.MC,Inditex
2019-03-15,26.3,26.67,24.66,25.87,21259761,ITX.MC,Inditex
2019-03-08,26.93,27.07,26.18,26.41,15097504,ITX.MC,Inditex
2019-03-01,25.69,26.94,25.29,26.75,15987331,ITX.MC,Inditex
2019-02-22,25.5,25.89,25.23,25.53,18483859,ITX.MC,Inditex
2019-02-15,24.2,25.6,24.17,25.59,18953590,ITX.MC,Inditex
2019-02-08,24.55,25.15,23.98,24.13,15227519,ITX.MC,Inditex
2019-02-01,24.13,24.55,23.51,24.51,16941195,ITX.MC,Inditex
2019-01-25,23.8,24.77,23.68,24.15,14912229,ITX.MC,Inditex
2019-01-18,23.35,23.91,23.05,23.83,15337348,ITX.MC,Inditex
2019-01-11,23.0,24.04,22.69,23.45,18377710,ITX.MC,Inditex
2019-01-04,22.5,22.96,21.85,22.89,18707890,ITX.MC,Inditex
2018-12-28,22.59,22.74,21.95,22.39,6910395,ITX.MC,Inditex
2018-12-24,22.59,22.61,22.15,22.25,923690,ITX.MC,Inditex
2018-12-21,24.3,24.4,22.01,22.75,33507084,ITX.MC,Inditex
2018-12-14,26.79,26.9,24.38,24.55,24327379,ITX.MC,Inditex
