timestamp,open,high,low,close,volume,symbol,name
2020-05-22,37.42,40.0,36.275,37.48,12068424,ABI.BR,Anheuser-Busch InBev
2020-05-15,40.2,40.55,35.11,37.0,8932227,ABI.BR,Anheuser-Busch InBev
2020-05-08,40.66,40.99,37.61,39.965,10274194,ABI.BR,Anheuser-Busch InBev
2020-04-30,39.19,45.195,39.115,41.88,9285051,ABI.BR,Anheuser-Busch InBev
2020-04-24,41.1,42.0,37.12,38.12,12463419,ABI.BR,Anheuser-Busch InBev
2020-04-17,45.0,45.54,41.58,41.8,11409996,ABI.BR,Anheuser-Busch InBev
2020-04-09,40.9,45.065,39.95,43.62,12557068,ABI.BR,Anheuser-Busch InBev
2020-04-03,38.25,41.175,37.14,39.84,11030954,ABI.BR,Anheuser-Busch InBev
2020-03-27,37.25,42.48,34.74,38.735,19222240,ABI.BR,Anheuser-Busch InBev
2020-03-20,37.4,40.045,29.025,40.0,36443603,ABI.BR,Anheuser-Busch InBev
2020-03-13,45.0,46.06,36.8,38.905,29307855,ABI.BR,Anheuser-Busch InBev
2020-03-06,55.0,55.49,47.48,47.865,20490321,ABI.BR,Anheuser-Busch InBev
2020-02-28,65.0,65.31,50.35,50.73,22972748,ABI.BR,Anheuser-Busch InBev
2020-02-21,67.75,68.51,65.83,66.15,8033794,ABI.BR,Anheuser-Busch InBev
2020-02-14,67.7,68.42,66.55,67.75,7444474,ABI.BR,Anheuser-Busch InBev
2020-02-07,68.07,70.48,67.73,68.5,8143245,ABI.BR,Anheuser-Busch InBev
2020-01-31,69.95,70.21,67.87,68.42,8983349,ABI.BR,Anheuser-Busch InBev
2020-01-24,72.04,72.08,69.87,70.71,6231034,ABI.BR,Anheuser-Busch InBev
2020-01-17,73.28,73.49,70.74,72.04,8499507,ABI.BR,Anheuser-Busch InBev
2020-01-10,73.84,75.26,72.85,73.63,5456711,ABI.BR,Anheuser-Busch InBev
2020-01-03,73.9092,74.56,72.71,74.4,2676192,ABI.BR,Anheuser-Busch InBev
2019-12-27,74.48,74.72,74.11,74.48,876893,ABI.BR,Anheuser-Busch InBev
2019-12-24,74.07,74.53,73.51,74.1,1099476,ABI.BR,Anheuser-Busch InBev
2019-12-20,70.66,74.06,70.52,74.06,11095071,ABI.BR,Anheuser-Busch InBev
2019-12-13,71.57,71.67,68.56,70.21,8133574,ABI.BR,Anheuser-Busch InBev
2019-12-06,72.04,72.98,70.51,71.8,7868577,ABI.BR,Anheuser-Busch InBev
2019-11-29,71.8,72.56,71.23,71.87,7552194,ABI.BR,Anheuser-Busch InBev
2019-11-22,72.25,72.71,70.21,71.43,8312763,ABI.BR,Anheuser-Busch InBev
2019-11-15,71.17,73.12,70.76,72.15,9321086,ABI.BR,Anheuser-Busch InBev
2019-11-08,71.31,72.44,70.41,71.1,9283453,ABI.BR,Anheuser-Busch InBev
2019-11-01,73.49,73.86,71.17,71.32,10264738,ABI.BR,Anheuser-Busch InBev
2019-10-25,83.53,84.11,73.6,73.68,11117431,ABI.BR,Anheuser-Busch InBev
2019-10-18,83.58,84.34,82.77,83.54,5917188,ABI.BR,Anheuser-Busch InBev
2019-10-11,84.62,85.47,82.58,83.94,5155427,ABI.BR,Anheuser-Busch InBev
2019-10-04,86.73,88.91,81.82,84.22,8069963,ABI.BR,Anheuser-Busch InBev
2019-09-27,87.18,87.84,84.56,87.04,6068457,ABI.BR,Anheuser-Busch InBev
2019-09-20,86.69,88.6,85.64,88.07,9715933,ABI.BR,Anheuser-Busch InBev
2019-09-13,84.34,89.71,83.66,87.19,8972008,ABI.BR,Anheuser-Busch InBev
2019-09-06,86.01,86.84,83.71,84.5,5755933,ABI.BR,Anheuser-Busch InBev
2019-08-30,84.72,87.04,83.15,86.2,6843502,ABI.BR,Anheuser-Busch InBev
2019-08-23,86.57,87.36,85.56,85.56,5711151,ABI.BR,Anheuser-Busch InBev
2019-08-16,87.69,88.68,82.79,85.63,8634578,ABI.BR,Anheuser-Busch InBev
2019-08-09,89.1,89.75,85.81,87.24,10018169,ABI.BR,Anheuser-Busch InBev
2019-08-02,90.11,92.71,89.47,89.88,10696632,ABI.BR,Anheuser-Busch InBev
2019-07-26,84.1,91.88,83.91,90.43,13745577,ABI.BR,Anheuser-Busch InBev
2019-07-19,76.69,84.36,76.69,83.61,9997767,ABI.BR,Anheuser-Busch InBev
2019-07-12,82.32,82.98,76.93,78.93,9093278,ABI.BR,Anheuser-Busch InBev
2019-07-05,78.2,83.8,77.68,82.5,8864395,ABI.BR,Anheuser-Busch InBev
2019-06-28,79.41,80.03,76.03,77.84,7282746,ABI.BR,Anheuser-Busch InBev
2019-06-21,75.37,80.15,74.36,79.79,10687166,ABI.BR,Anheuser-Busch InBev
2019-06-14,75.56,76.99,74.82,75.38,6198378,ABI.BR,Anheuser-Busch InBev
2019-06-07,72.36,75.78,71.81,75.47,8350741,ABI.BR,Anheuser-Busch InBev
2019-05-31,74.04,74.79,71.58,72.61,6848184,ABI.BR,Anheuser-Busch InBev
2019-05-24,74.19,74.33,72.36,73.53,7288437,ABI.BR,Anheuser-Busch InBev
2019-05-17,74.5,75.47,72.48,74.3,8651371,ABI.BR,Anheuser-Busch InBev
2019-05-10,76.75,78.84,73.89,74.11,8949530,ABI.BR,Anheuser-Busch InBev
2019-05-03,78.54,79.43,77.84,78.83,5724515,ABI.BR,Anheuser-Busch InBev
2019-04-26,80.0,80.17,77.17,78.28,6652486,ABI.BR,Anheuser-Busch InBev
2019-04-18,78.72,80.0,77.71,79.84,7303980,ABI.BR,Anheuser-Busch InBev
2019-04-12,76.65,78.81,76.24,78.41,7108165,ABI.BR,Anheuser-Busch InBev
2019-04-05,75.0,77.44,74.03,76.9,8158811,ABI.BR,Anheuser-Busch InBev
2019-03-29,71.25,74.94,70.6,74.76,8954497,ABI.BR,Anheuser-Busch InBev
2019-03-22,72.16,75.0,71.65,71.81,9643462,ABI.BR,Anheuser-Busch InBev
2019-03-15,72.0,72.35,70.41,71.71,11438392,ABI.BR,Anheuser-Busch InBev
2019-03-08,72.6,73.45,70.36,71.48,9952789,ABI.BR,Anheuser-Busch InBev
2019-03-01,66.44,72.87,64.8,72.8,16154083,ABI.BR,Anheuser-Busch InBev
2019-02-22,68.67,68.81,64.79,65.77,8041088,ABI.BR,Anheuser-Busch InBev
2019-02-15,67.1,69.65,66.47,68.45,9563381,ABI.BR,Anheuser-Busch InBev
2019-02-08,67.63,69.84,66.55,66.67,9204163,ABI.BR,Anheuser-Busch InBev
2019-02-01,65.5,67.23,63.76,66.78,9401527,ABI.BR,Anheuser-Busch InBev
2019-01-25,65.16,66.26,64.02,65.54,8547688,ABI.BR,Anheuser-Busch InBev
2019-01-18,63.85,64.81,61.53,64.75,13295798,ABI.BR,Anheuser-Busch InBev
2019-01-11,60.3,65.63,59.22,63.49,13365070,ABI.BR,Anheuser-Busch InBev
2019-01-04,57.99,60.64,56.32,60.54,7499121,ABI.BR,Anheuser-Busch InBev
2018-12-28,58.78,58.98,56.84,57.5,4361413,ABI.BR,Anheuser-Busch InBev
2018-12-24,58.15,59.76,58.08,58.46,536641,ABI.BR,Anheuser-Busch InBev
2018-12-21,61.94,62.19,58.31,59.58,15474510,ABI.BR,Anheuser-Busch InBev
2018-12-14,62.34,64.21,61.63,62.27,11173713,ABI.BR,Anheuser-Busch InBev
2018-12-07,69.15,69.22,62.43,62.66,10012781,ABI.BR,Anheuser-Busch InBev
2018-11-30,67.4,68.99,66.13,67.64,9276208,ABI.BR,Anheuser-Busch InBev
2018-11-23,69.22,69.67,66.51,67.28,9072222,ABI.BR,Anheuser-Busch InBev
2018-11-16,65.96,68.83,64.76,68.5,11300075,ABI.BR,Anheuser-Busch InBev
2018-11-09,66.8,67.25,65.23,65.68,7569497,ABI.BR,Anheuser-Busch InBev
2018-11-02,66.25,68.81,64.77,66.69,13884933,ABI.BR,Anheuser-Busch InBev
2018-10-26,73.18,74.19,64.05,65.94,20886583,ABI.BR,Anheuser-Busch InBev
2018-10-19,72.88,74.06,71.64,73.18,9486521,ABI.BR,Anheuser-Busch InBev
2018-10-12,75.8,76.45,72.52,73.0,9485180,ABI.BR,Anheuser-Busch InBev
2018-10-05,75.0,77.01,73.7,75.44,10567009,ABI.BR,Anheuser-Busch InBev
2018-09-28,78.2,78.24,75.09,75.22,9960416,ABI.BR,Anheuser-Busch InBev
2018-09-21,76.05,79.05,76.04,78.07,15078447,ABI.BR,Anheuser-Busch InBev
2018-09-14,77.92,77.99,75.34,76.53,8992030,ABI.BR,Anheuser-Busch InBev
2018-09-07,80.25,80.94,76.48,77.53,10311704,ABI.BR,Anheuser-Busch InBev
2018-08-31,85.0,85.26,79.09,80.74,6440822,ABI.BR,Anheuser-Busch InBev
2018-08-24,87.42,88.49,84.39,84.73,6018339,ABI.BR,Anheuser-Busch InBev
2018-08-17,84.82,87.5,83.77,86.97,7121592,ABI.BR,Anheuser-Busch InBev
2018-08-10,86.8,87.3,84.53,84.8,5897349,ABI.BR,Anheuser-Busch InBev
2018-08-03,86.97,87.07,85.29,86.76,7189067,ABI.BR,Anheuser-Busch InBev
2018-07-27,89.5,91.14,85.67,87.3,9521108,ABI.BR,Anheuser-Busch InBev
2018-07-20,88.99,90.35,87.64,89.54,6867194,ABI.BR,Anheuser-Busch InBev
2018-07-13,89.0,89.38,87.85,88.91,6698635,ABI.BR,Anheuser-Busch InBev
2018-07-06,86.02,89.12,85.15,88.8,7170544,ABI.BR,Anheuser-Busch InBev
2018-06-29,85.2,87.11,83.0,86.5,9006600,ABI.BR,Anheuser-Busch InBev
2018-06-22,84.84,85.21,82.03,85.21,9802599,ABI.BR,Anheuser-Busch InBev
2018-06-15,80.9,86.2,80.78,84.59,12054156,ABI.BR,Anheuser-Busch InBev
2018-06-08,81.44,83.55,79.28,80.1,10322349,ABI.BR,Anheuser-Busch InBev
2018-06-01,81.91,82.79,79.28,80.24,10626181,ABI.BR,Anheuser-Busch InBev
2018-05-25,80.5,82.28,80.0,81.51,7869747,ABI.BR,Anheuser-Busch InBev
2018-05-18,79.8,81.15,78.61,80.03,10463890,ABI.BR,Anheuser-Busch InBev
2018-05-11,81.91,86.39,79.34,79.8,11291297,ABI.BR,Anheuser-Busch InBev
2018-05-04,81.37,83.0,78.95,81.67,11893064,ABI.BR,Anheuser-Busch InBev
2018-04-27,84.9,86.06,83.22,84.19,9263153,ABI.BR,Anheuser-Busch InBev
2018-04-20,85.14,87.12,84.1,85.49,8440184,ABI.BR,Anheuser-Busch InBev
2018-04-13,88.24,89.42,84.98,85.24,8470402,ABI.BR,Anheuser-Busch InBev
2018-04-06,87.88,90.51,86.72,89.21,6420406,ABI.BR,Anheuser-Busch InBev
2018-03-29,87.88,90.53,85.54,89.28,7516585,ABI.BR,Anheuser-Busch InBev
2018-03-23,91.33,92.26,87.04,87.28,8006677,ABI.BR,Anheuser-Busch InBev
2018-03-16,94.5,95.08,91.13,91.78,11800296,ABI.BR,Anheuser-Busch InBev
2018-03-09,89.35,94.12,88.88,93.27,8647806,ABI.BR,Anheuser-Busch InBev
2018-03-02,87.27,92.93,86.51,88.76,13871157,ABI.BR,Anheuser-Busch InBev
2018-02-23,85.71,86.69,84.59,86.61,5841503,ABI.BR,Anheuser-Busch InBev
2018-02-16,85.0,85.75,82.03,85.21,10115945,ABI.BR,Anheuser-Busch InBev
2018-02-09,89.64,89.64,83.21,83.92,13432516,ABI.BR,Anheuser-Busch InBev
2018-02-02,92.5,92.52,89.66,89.69,8424007,ABI.BR,Anheuser-Busch InBev
2018-01-26,94.28,94.51,91.28,92.55,7744619,ABI.BR,Anheuser-Busch InBev
2018-01-19,94.84,95.94,93.82,94.36,7882468,ABI.BR,Anheuser-Busch InBev
2018-01-12,95.84,96.7,94.49,94.75,7943437,ABI.BR,Anheuser-Busch InBev
2018-01-05,93.2,95.71,92.5,95.23,6869334,ABI.BR,Anheuser-Busch InBev
2017-12-29,93.75,94.8,92.88,93.13,2850286,ABI.BR,Anheuser-Busch InBev
2017-12-22,94.2,95.92,93.6,93.99,7946337,ABI.BR,Anheuser-Busch InBev
2017-12-15,94.58,95.26,93.02,93.95,8653607,ABI.BR,Anheuser-Busch InBev
2017-12-08,97.0,97.93,94.1,94.43,7702866,ABI.BR,Anheuser-Busch InBev
2017-12-01,98.35,99.55,95.85,96.39,7059510,ABI.BR,Anheuser-Busch InBev
2017-11-24,97.43,99.39,97.18,98.39,5211879,ABI.BR,Anheuser-Busch InBev
2017-11-17,101.2,101.65,95.83,97.39,8811854,ABI.BR,Anheuser-Busch InBev
2017-11-10,104.85,105.65,100.15,100.4,7330292,ABI.BR,Anheuser-Busch InBev
2017-11-03,103.25,105.95,102.6,105.2,5998658,ABI.BR,Anheuser-Busch InBev
2017-10-27,106.8,107.0,99.76,103.45,9072125,ABI.BR,Anheuser-Busch InBev
2017-10-20,106.0,107.4,105.3,106.55,6202486,ABI.BR,Anheuser-Busch InBev
2017-10-13,103.95,106.15,103.85,106.15,5171951,ABI.BR,Anheuser-Busch InBev
2017-10-06,101.0,104.55,100.6,103.6,6702405,ABI.BR,Anheuser-Busch InBev
2017-09-29,97.2,101.6,97.01,101.3,7481974,ABI.BR,Anheuser-Busch InBev
2017-09-22,101.6,101.95,97.47,97.51,6186199,ABI.BR,Anheuser-Busch InBev
2017-09-15,101.55,103.5,100.9,101.2,9451308,ABI.BR,Anheuser-Busch InBev
2017-09-08,99.15,101.7,99.01,101.15,5513011,ABI.BR,Anheuser-Busch InBev
2017-09-01,97.8,100.7,95.38,99.89,6725243,ABI.BR,Anheuser-Busch InBev
2017-08-25,99.26,99.89,98.07,98.23,4494243,ABI.BR,Anheuser-Busch InBev
2017-08-18,98.49,101.1,98.49,99.08,4455693,ABI.BR,Anheuser-Busch InBev
2017-08-11,102.55,102.6,97.78,98.2,5224454,ABI.BR,Anheuser-Busch InBev
2017-08-04,103.2,103.65,99.31,102.15,6555205,ABI.BR,Anheuser-Busch InBev
2017-07-28,98.75,106.0,97.45,103.35,9526432,ABI.BR,Anheuser-Busch InBev
2017-07-21,99.65,101.0,98.23,98.5,6329859,ABI.BR,Anheuser-Busch InBev
2017-07-14,97.37,99.91,96.2,99.29,6825691,ABI.BR,Anheuser-Busch InBev
2017-07-07,96.77,98.06,95.28,97.36,7387494,ABI.BR,Anheuser-Busch InBev
2017-06-30,101.65,102.9,96.63,96.71,8443855,ABI.BR,Anheuser-Busch InBev
2017-06-23,102.3,103.6,100.65,100.95,5117989,ABI.BR,Anheuser-Busch InBev
2017-06-16,101.45,102.85,100.55,101.6,8986155,ABI.BR,Anheuser-Busch InBev
2017-06-09,105.3,105.5,101.1,101.55,6385973,ABI.BR,Anheuser-Busch InBev
2017-06-02,105.6,106.0,103.85,104.9,5736738,ABI.BR,Anheuser-Busch InBev
2017-05-26,105.8,106.15,104.6,105.55,4474875,ABI.BR,Anheuser-Busch InBev
