timestamp,open,high,low,close,volume,symbol,name
2020-05-22,336.15,362.2,334.55,355.3,3084982,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-05-15,355.0,356.0,324.3,330.25,2652299,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-05-08,345.0,354.4,332.95,352.25,2758558,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-04-30,347.3,362.85,346.15,352.45,2322252,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-04-24,364.25,364.3,340.85,340.85,2755624,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-04-17,351.2,363.3,337.95,358.0,3307353,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-04-09,336.5,354.45,334.4,347.4,2748940,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-04-03,348.6,355.95,316.1,325.05,3969780,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-03-27,300.0,363.7,300.0,341.65,6335845,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-03-20,292.0,323.1,278.7,311.0,9701927,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-03-13,340.75,357.95,295.0,314.9,11058217,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-03-06,385.0,388.8,355.95,360.35,6404468,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-02-28,384.2,391.95,353.15,370.85,8012171,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-02-21,415.75,419.5,403.2,404.5,2629901,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-02-14,411.0,424.7,409.7,414.95,2673984,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-02-07,394.65,420.1,391.05,413.95,3268543,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-01-31,402.9,420.65,394.1,395.3,4926090,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-01-24,438.25,438.25,411.65,416.3,2648388,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-01-17,424.55,439.05,423.6,439.05,2280731,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-01-10,415.0,426.3,408.6,423.65,1735528,MC.PA,LVMH Moët Hennessy Louis Vuitton
2020-01-03,419.25,421.5,411.85,419.1,968538,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-12-27,410.0,419.45,408.0,417.6,1735997,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-12-20,406.8,411.6,399.2,410.5,3559418,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-12-13,401.95,407.15,391.9,403.8,2306272,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-12-06,408.0,410.8,386.6,401.35,2960483,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-11-29,400.6,411.05,400.3,407.3,2159900,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-11-22,406.65,407.1,392.55,396.25,2209210,MC.PA,LVMH Moët Hennessy Louis Vuitton
2019-11-15,400.4,407.85,399.2,405.5,1986342,MC.PA,LVMH Moët Hennessy Louis Vuitton
