timestamp,open,high,low,close,volume,symbol,name
2020-05-22,25.99,27.91,25.93,27.51,10504677,CRG.IR,CRH
2020-05-15,27.85,27.85,24.64,25.32,12602261,CRG.IR,CRH
2020-05-08,25.98,27.88,25.61,27.08,13161466,CRG.IR,CRH
2020-04-30,26.85,29.73,26.62,27.55,9455147,CRG.IR,CRH
2020-04-24,25.5,26.47,24.25,26.06,14626338,CRG.IR,CRH
2020-04-17,27.12,27.32,23.68,25.51,12588378,CRG.IR,CRH
2020-04-09,25.0,27.57,24.7,27.37,13838873,CRG.IR,CRH
2020-04-03,23.44,25.0,22.2,24.23,16118131,CRG.IR,CRH
2020-03-27,18.31,23.95,17.34,23.2,19433395,CRG.IR,CRH
2020-03-20,21.09,22.21,16.3,18.965,24303958,CRG.IR,CRH
2020-03-13,28.45,29.16,22.77,23.03,24588493,CRG.IR,CRH
2020-03-06,31.14,32.35,29.92,30.46,13579887,CRG.IR,CRH
2020-02-28,34.0,34.3,29.97,30.47,18456528,CRG.IR,CRH
2020-02-21,35.9,35.92,34.47,34.67,6752568,CRG.IR,CRH
2020-02-14,34.86,36.38,34.74,35.77,7307690,CRG.IR,CRH
2020-02-07,34.2,35.67,33.83,35.12,6606569,CRG.IR,CRH
2020-01-31,34.68,35.09,33.78,33.92,8988907,CRG.IR,CRH
2020-01-24,34.66,35.24,34.27,34.99,8758211,CRG.IR,CRH
2020-01-17,35.04,35.5,34.19,34.83,8473986,CRG.IR,CRH
2020-01-10,35.38,36.02,34.95,35.02,7363403,CRG.IR,CRH
2020-01-03,35.5785,36.74,35.45,35.74,2974553,CRG.IR,CRH
2019-12-27,36.3,36.44,36.12,36.25,576135,CRG.IR,CRH
2019-12-24,35.9,36.14,35.69,35.95,1012524,CRG.IR,CRH
2019-12-20,36.01,36.31,35.35,35.78,7886111,CRG.IR,CRH
2019-12-13,35.02,36.38,34.37,35.72,6367617,CRG.IR,CRH
2019-12-06,34.42,35.13,33.73,35.09,8305594,CRG.IR,CRH
2019-11-29,33.87,35.64,33.87,34.73,9130463,CRG.IR,CRH
2019-11-22,33.84,34.11,32.97,33.77,8025468,CRG.IR,CRH
2019-11-15,33.16,34.0,32.76,33.73,5384018,CRG.IR,CRH
2019-11-08,33.23,33.71,32.83,33.14,8541828,CRG.IR,CRH
2019-11-01,32.95,33.64,32.29,33.04,7672145,CRG.IR,CRH
2019-10-25,31.5,32.99,31.43,32.99,7128378,CRG.IR,CRH
2019-10-18,31.09,31.9,30.67,31.41,7103269,CRG.IR,CRH
2019-10-11,29.63,31.18,28.85,31.11,6634907,CRG.IR,CRH
2019-10-04,31.16,31.68,29.39,29.93,10470055,CRG.IR,CRH
2019-09-27,30.73,31.33,29.88,31.28,6320279,CRG.IR,CRH
2019-09-20,30.9479,31.44,30.5,31.03,14130750,CRG.IR,CRH
2019-09-13,30.29,32.44,30.26,31.91,8752933,CRG.IR,CRH
2019-09-06,30.4,31.04,30.16,30.5,7723657,CRG.IR,CRH
2019-08-30,29.63,30.84,28.79,30.28,7916972,CRG.IR,CRH
2019-08-23,29.19,29.65,28.51,29.22,12005690,CRG.IR,CRH
2019-08-16,28.53,29.43,27.89,28.91,7448549,CRG.IR,CRH
2019-08-09,28.4,28.78,27.61,28.38,8983262,CRG.IR,CRH
2019-08-02,29.83,30.37,28.56,28.75,10560891,CRG.IR,CRH
2019-07-26,29.22,29.934,29.22,29.83,8181071,CRG.IR,CRH
2019-07-19,29.69,30.21,29.25,29.47,9186830,CRG.IR,CRH
2019-07-12,29.6,29.96,28.94,29.75,5428773,CRG.IR,CRH
2019-07-05,29.27,30.27,28.85,29.89,6346760,CRG.IR,CRH
2019-06-28,28.58,29.4673,27.87,29.27,4396178,CRG.IR,CRH
2019-06-21,28.3,29.11,27.88,28.51,9492696,CRG.IR,CRH
2019-06-14,28.8,29.13,27.83,28.36,3974869,CRG.IR,CRH
2019-06-07,28.15,29.11,27.98,28.57,3934594,CRG.IR,CRH
2019-05-31,28.67,28.71,27.59,27.99,5925477,CRG.IR,CRH
2019-05-24,28.92,29.06,28.13,28.27,6118783,CRG.IR,CRH
2019-05-17,28.4,29.02,27.9,28.72,6017628,CRG.IR,CRH
2019-05-10,30.4,30.48,28.44,28.53,5129395,CRG.IR,CRH
2019-05-03,29.39,30.5436,29.26,30.4,6411638,CRG.IR,CRH
2019-04-26,30.24,30.43,29.25,29.35,6239281,CRG.IR,CRH
2019-04-18,29.2,30.65,29.02,30.53,5057148,CRG.IR,CRH
2019-04-12,28.5773,29.35,28.46,29.13,5682216,CRG.IR,CRH
2019-04-05,27.75,29.48,27.72,29.48,5264066,CRG.IR,CRH
2019-03-29,27.19,27.74,26.5,27.65,8590280,CRG.IR,CRH
2019-03-22,28.17,28.71,27.08,27.19,5327151,CRG.IR,CRH
2019-03-15,27.79,28.28,26.96,28.04,8290297,CRG.IR,CRH
2019-03-08,28.19,28.37,27.2,27.45,7550698,CRG.IR,CRH
2019-03-01,27.59,28.57,27.23,28.26,8184740,CRG.IR,CRH
2019-02-22,27.0,28.0,26.85,27.59,4860417,CRG.IR,CRH
2019-02-15,26.55,27.33,26.48,26.9,6175359,CRG.IR,CRH
2019-02-08,25.45,27.49,25.45,26.34,7714309,CRG.IR,CRH
2019-02-01,25.37,25.81,24.8,25.64,5609392,CRG.IR,CRH
2019-01-25,25.03,25.81,24.79,25.62,4491107,CRG.IR,CRH
2019-01-18,24.34,25.36,24.27,25.29,5156030,CRG.IR,CRH
2019-01-11,23.94,24.73,23.48,24.41,6584306,CRG.IR,CRH
2019-01-04,23.25,24.21,22.33,24.07,3167478,CRG.IR,CRH
2018-12-28,22.54,23.19,21.97,23.03,1596579,CRG.IR,CRH
2018-12-24,22.56,22.69,22.38,22.54,103628,CRG.IR,CRH
2018-12-21,22.32,23.06,21.71,22.38,7665393,CRG.IR,CRH
2018-12-14,22.59,23.33,21.9,22.64,6269445,CRG.IR,CRH
2018-12-07,24.96,25.41,22.23,22.82,8043503,CRG.IR,CRH
2018-11-30,24.84,25.09,24.01,24.42,7494717,CRG.IR,CRH
2018-11-23,24.3,24.5,23.69,24.44,9383682,CRG.IR,CRH
2018-11-16,26.06,26.19,24.12,24.15,6481339,CRG.IR,CRH
2018-11-09,26.63,26.97,25.58,25.8,5388210,CRG.IR,CRH
2018-11-02,24.85,27.12,24.4,26.62,7061833,CRG.IR,CRH
2018-10-26,24.57,24.75,23.37,24.33,9814492,CRG.IR,CRH
2018-10-19,26.2,27.2,24.43,24.43,13823841,CRG.IR,CRH
2018-10-12,28.04,28.15,26.25,26.32,7709248,CRG.IR,CRH
2018-10-05,28.5,28.75,28.06,28.25,6291429,CRG.IR,CRH
2018-09-28,28.2,28.58,27.97,28.18,6124898,CRG.IR,CRH
2018-09-21,27.24,28.59,27.07,28.21,8693360,CRG.IR,CRH
2018-09-14,27.56,28.03,27.01,27.24,7908027,CRG.IR,CRH
2018-09-07,28.45,28.88,27.64,27.65,7409715,CRG.IR,CRH
2018-08-31,29.27,29.4,28.5,28.61,4821868,CRG.IR,CRH
2018-08-24,28.4,30.04,28.32,29.22,4114838,CRG.IR,CRH
2018-08-17,28.31,28.65,27.71,28.4,3155552,CRG.IR,CRH
2018-08-10,28.43,28.9,27.93,28.2,5748031,CRG.IR,CRH
2018-08-03,29.49,29.84,28.08,28.58,5999233,CRG.IR,CRH
2018-07-27,29.9,30.48,29.63,29.72,4592423,CRG.IR,CRH
2018-07-20,30.23,30.85,29.61,29.97,4710684,CRG.IR,CRH
2018-07-13,30.85,30.85,30.08,30.5,3827876,CRG.IR,CRH
2018-07-06,30.05,30.71,29.95,30.54,4226266,CRG.IR,CRH
2018-06-29,30.75,31.18,30.1,30.35,5252340,CRG.IR,CRH
2018-06-22,32.3,32.33,30.88,31.1,4226403,CRG.IR,CRH
2018-06-15,32.48,33.09,31.63,32.35,6116337,CRG.IR,CRH
2018-06-08,30.0,32.78,30.0,32.11,4635182,CRG.IR,CRH
2018-06-01,31.6,32.23,30.18,31.77,10094774,CRG.IR,CRH
2018-05-25,31.86,32.39,30.85,31.19,7073929,CRG.IR,CRH
2018-05-18,31.0,32.04,30.21,31.86,7018464,CRG.IR,CRH
2018-05-11,30.37,31.14,30.15,30.71,4184513,CRG.IR,CRH
2018-05-04,29.33,30.21,29.14,30.19,5532988,CRG.IR,CRH
2018-04-27,28.9,29.48,28.13,29.26,8681441,CRG.IR,CRH
2018-04-20,27.52,28.95,27.02,28.92,7631425,CRG.IR,CRH
2018-04-13,27.98,28.03,27.08,27.44,6089509,CRG.IR,CRH
2018-04-06,27.26,27.93,27.03,27.6,4973173,CRG.IR,CRH
2018-03-29,27.34,27.78,26.6,27.57,6342128,CRG.IR,CRH
